"","Fit1","model"
"1",1.33685675016797e-84,"Null model"
"2",7.80528570313532e-52,"Side model"
"3",5.03173611151624e-29,"Digit model"
"4",NA,"Full model"
"5",1.28133465350246e-84,"Null model"
"6",8.33891417295298e-52,"Side model"
"7",5.24172691149888e-29,"Digit model"
"8",NA,"Full model"
"9",1.36440229726465e-84,"Null model"
"10",7.56952883924395e-52,"Side model"
"11",5.1509717652253e-29,"Digit model"
"12",NA,"Full model"
"13",1.29805806069932e-84,"Null model"
"14",8.21954583880886e-52,"Side model"
"15",4.7724073655776e-29,"Digit model"
"16",NA,"Full model"
"21",1.30036336710924e-84,"Null model"
"22",7.55272134356065e-52,"Side model"
"23",4.734554026599e-29,"Digit model"
"24",NA,"Full model"
"25",1.28403954688937e-84,"Null model"
"26",7.45794838574942e-52,"Side model"
"27",5.15260594792204e-29,"Digit model"
"28",NA,"Full model"
"29",1.36745302591972e-84,"Null model"
"30",8.05897765147278e-52,"Side model"
"31",5.08971394149011e-29,"Digit model"
"32",NA,"Full model"
"33",1.20274618899955e-84,"Null model"
"34",7.64734082569029e-52,"Side model"
"35",4.85425637786138e-29,"Digit model"
"36",NA,"Full model"
"37",1.34275656591263e-84,"Null model"
"38",8.07607146246262e-52,"Side model"
"39",5.3037735252979e-29,"Digit model"
"40",NA,"Full model"
"41",1.42420712884178e-84,"Null model"
"42",8.30251867830878e-52,"Side model"
"43",5.67831608932874e-29,"Digit model"
"44",NA,"Full model"
